query,var-to-lab-mapping,lab-cards-in-TP,ProjVars,QueryVars,LonelyNonResultLabels,No.TPs,TP-sizes,QueryRuntime
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/liping-wang> ?property ?value },value:a property:b,a:10.00; b:7.00;,b a,a b,,1,12,38810
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/linkedin> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/linkedin> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:9.00;,b a c,a b c,,2,1 11,94997
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-california-berkeley> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-california-berkeley> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:34.00;,b a c,a b c,,2,1 40,88452
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2004/poster-proceedings/paper-29/author_list> ?property ?value },value:a property:b,a:2.00; b:2.00;,b a,a b,,1,2,17085
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/florida-institute-for-human-and-machine-cognition> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/florida-institute-for-human-and-machine-cognition> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:7.00;,b a c,a b c,,2,1 8,88458
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/ibm-zurich-research-laboratory> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/ibm-zurich-research-laboratory> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,85550
SELECT  ?property ?value  WHERE    { <http://www.eswc2007.org/pdf/eswc07-schreoter.pdf> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,20349
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/best-buy> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/best-buy> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,92853
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/andrea-rodriguez> ?property ?value },value:a property:b,a:8.00; b:9.00;,b a,a b,,1,9,17035
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/pierre-nugues> ?property ?value },value:a property:b,a:6.00; b:6.00;,b a,a b,,1,7,16977
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/organization/paypal> ?property ?value },value:a property:b,a:3.00; b:4.00;,b a,a b,,1,4,16862
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-amsterdam> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-amsterdam> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:14.00;,b a c,a b c,,2,1 15,88910
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-nantes> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-nantes> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:20.00;,b a c,a b c,,2,1 24,88112
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/yahoo> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/yahoo> ?prop ?val    },prop:a type:b val:c,a:7.00; b:1.00; c:6.00;,b a c,a b c,,2,1 7,84236
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/lrec/2008/proceedings> ?property ?value },value:a property:b,a:623.00; b:4.00;,b a,a b,,1,623,135238
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2013/poster-demo-proceedings/paper-17> ?property ?value },value:a property:b,a:12.00; b:12.00;,b a,a b,,1,18,24098
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2012/industry-proceedings/paper-03> ?property ?value },value:a property:b,a:10.00; b:12.00;,b a,a b,,1,14,22872
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-bremen> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-bremen> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:21.00;,b a c,a b c,,2,1 24,100618
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/charles-iii-university-of-madrid> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/charles-iii-university-of-madrid> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,94357
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/french-national-centre-for-scientific-research> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/french-national-centre-for-scientific-research> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,96634
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/universidade-nova-de-lisboa> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/universidade-nova-de-lisboa> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:17.00;,b a c,a b c,,2,1 21,107814
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/national-and-kapodistrian-university-of-athens> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/national-and-kapodistrian-university-of-athens> ?prop ?val    },prop:a type:b val:c,a:9.00; b:1.00; c:24.00;,b a c,a b c,,2,1 26,88141
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/massachusetts-institute-of-technology> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/massachusetts-institute-of-technology> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:29.00;,b a c,a b c,,2,1 31,85437
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/organization/university-of-kentucky> ?property ?value },value:a property:b,a:4.00; b:5.00;,b a,a b,,1,5,20988
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/oak-ridge-national-laboratory> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/oak-ridge-national-laboratory> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:8.00;,b a c,a b c,,2,1 9,100899
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/eindhoven-university-of-technology> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/eindhoven-university-of-technology> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:12.00;,b a c,a b c,,2,1 13,90878
SELECT  ?property ?value  WHERE    { <http://knoesis.org/~amit> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,19185
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/gareth-jones> ?property ?value },value:a property:b,a:8.00; b:9.00;,b a,a b,,1,9,19419
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2008/paper/research/251> ?property ?value },value:a property:b,a:17.00; b:16.00;,b a,a b,,1,28,21567
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/jacobs-university-bremen> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/jacobs-university-bremen> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:8.00;,b a c,a b c,,2,1 11,91734
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-arkansas-at-little-rock> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-arkansas-at-little-rock> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:10.00;,b a c,a b c,,2,1 11,87899
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/mcgill-university> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/mcgill-university> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:16.00;,b a c,a b c,,2,1 18,87570
SELECT  ?property ?value  WHERE    { <http://www.few.vu.nl/~gazendam/> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,20865
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/david-tomas> ?property ?value },value:a property:b,a:4.00; b:5.00;,b a,a b,,1,5,16881
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/eswc/2014/paper/ws/FEOSW/1> ?property ?value },value:a property:b,a:13.00; b:11.00;,b a,a b,,1,19,19550
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/hasso-plattner-institute> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/hasso-plattner-institute> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:13.00;,b a c,a b c,,2,1 15,91211
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/workshop/ocas/2011/paper/13> ?property ?value },value:a property:b,a:12.00; b:10.00;,b a,a b,,1,17,20334
PREFIX  geo:  <http://www.w3.org/2003/01/geo/wgs84_pos#>  PREFIX  swrc: <http://swrc.ontoware.org/ontology#>  PREFIX  ical: <http://www.w3.org/2002/12/cal/ical#>  PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  PREFIX  owl:  <http://www.w3.org/2002/07/owl#>  PREFIX  swrc-ext: <http://www.cs.vu.nl/~mcaklein/onto/swrc_ext/2005/05#>  PREFIX  dcterms: <http://purl.org/dc/terms/>  PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX  foaf: <http://xmlns.com/foaf/0.1/>  PREFIX  swc:  <http://data.semanticweb.org/ns/swc/ontology#>  PREFIX  dc:   <http://purl.org/dc/elements/1.1/>  SELECT  ?s ?o  WHERE    { ?s owl:sameAs ?o .      ?s rdf:type foaf:Person    },s:a o:b,a:1812.00 11114.00; b:2120.00;,a b,a b,,2,2129 11114,145486
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2004/demo-proceedings/paper-01> ?property ?value },value:a property:b,a:11.00; b:13.00;,b a,a b,,1,17,22296
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/verticalnet> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/verticalnet> ?prop ?val    },prop:a type:b val:c,a:8.00; b:1.00; c:12.00;,b a c,a b c,,2,1 13,95536
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-zurich> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-zurich> ?prop ?val    },prop:a type:b val:c,a:12.00; b:1.00; c:51.00;,b a c,a b c,,2,1 59,89211
SELECT  ?property ?value  WHERE    { <http://kmi.open.ac.uk/people/index.cfm/idstring/alessio-gugliotta> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,16673
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/oscar-pastor-lopez> ?property ?value },value:a property:b,a:8.00; b:9.00;,b a,a b,,1,9,16789
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/igor-wojnicki> ?property ?value },value:a property:b,a:10.00; b:11.00;,b a,a b,,1,11,17933
PREFIX  geo:  <http://www.w3.org/2003/01/geo/wgs84_pos#>  PREFIX  swrc: <http://swrc.ontoware.org/ontology#>  PREFIX  ical: <http://www.w3.org/2002/12/cal/ical#>  PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  PREFIX  owl:  <http://www.w3.org/2002/07/owl#>  PREFIX  swrc-ext: <http://www.cs.vu.nl/~mcaklein/onto/swrc_ext/2005/05#>  PREFIX  dcterms: <http://purl.org/dc/terms/>  PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX  foaf: <http://xmlns.com/foaf/0.1/>  PREFIX  swc:  <http://data.semanticweb.org/ns/swc/ontology#>  PREFIX  dc:   <http://purl.org/dc/elements/1.1/>  SELECT  ?con ?rr  WHERE    { ?con swc:hasPart ?rr },con:a rr:b,a:134.00; b:4799.00;,a b,a b,,1,5075,22478
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/public-research-centre-henri-tudor> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/public-research-centre-henri-tudor> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,95933
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/goeffrey-squire> ?property ?value },value:a property:b,a:4.00; b:5.00;,b a,a b,,1,5,17923
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-peloponnese> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-peloponnese> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:8.00;,b a c,a b c,,2,1 9,94057
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-turin> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-turin> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,86424
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-delaware> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-delaware> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:9.00;,b a c,a b c,,2,1 10,89619
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/agfa-gevaert> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/agfa-gevaert> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,90806
SELECT  ?property ?value  WHERE    { <http://www-lsr.imag.fr/Les.Personnes/Marie-Christine.Rousset/> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,18205
SELECT  ?o ?p  WHERE    { <http://data.semanticweb.org/organization/microsoft-research> ?p ?o },p:a o:b,a:5.00; b:94.00;,b a,a b,,1,95,17008
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-laquila> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-laquila> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:8.00;,b a c,a b c,,2,1 10,90185
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/fis/2010/paper/posters/10/authors> ?property ?value },value:a property:b,a:2.00; b:2.00;,b a,a b,,1,2,16917
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/yahoo-research> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/yahoo-research> ?prop ?val    },prop:a type:b val:c,a:9.00; b:1.00; c:99.00;,b a c,a b c,,2,1 104,88708
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/google-inc> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/google-inc> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:99.00;,b a c,a b c,,2,1 104,86090
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-aberdeen> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-aberdeen> ?prop ?val    },prop:a type:b val:c,a:9.00; b:1.00; c:40.00;,b a c,a b c,,2,1 44,89696
PREFIX  geo:  <http://www.w3.org/2003/01/geo/wgs84_pos#>  PREFIX  swrc: <http://swrc.ontoware.org/ontology#>  PREFIX  ical: <http://www.w3.org/2002/12/cal/ical#>  PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>  PREFIX  owl:  <http://www.w3.org/2002/07/owl#>  PREFIX  swrc-ext: <http://www.cs.vu.nl/~mcaklein/onto/swrc_ext/2005/05#>  PREFIX  dcterms: <http://purl.org/dc/terms/>  PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>  PREFIX  foaf: <http://xmlns.com/foaf/0.1/>  PREFIX  swc:  <http://data.semanticweb.org/ns/swc/ontology#>  PREFIX  dc:   <http://purl.org/dc/elements/1.1/>  SELECT  ?title ?year  WHERE    { ?x rdf:type swrc:InProceedings .      ?x dc:title ?title .      ?x swrc:abstract ?abstract .      ?x swrc:year ?year .      ?x dc:creator ?creator    },x:a title:b abstract:c year:d creator:e,a:5073.00 4592.00 3939.00 4701.00 3289.00; b:4573.00; c:3925.00; d:14.00; e:7031.00;,b d,a b c d e,e c,5,5073 4596 3972 4701 10812,1007382
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2010/paper/419/authorlist> ?property ?value },value:a property:b,a:6.00; b:6.00;,b a,a b,,1,6,26792
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-dublin> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-dublin> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,114686
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-helsinki> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-helsinki> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:11.00;,b a c,a b c,,2,1 12,122220
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/pacific-northwest-national-laboratory> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/pacific-northwest-national-laboratory> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:11.00;,b a c,a b c,,2,1 12,107015
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/fred-freitas> ?property ?value },value:a property:b,a:11.00; b:12.00;,b a,a b,,1,14,21947
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/paris-8-university> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/paris-8-university> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:5.00;,b a c,a b c,,2,1 6,101205
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/embryriddle-aeronautical-university> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/embryriddle-aeronautical-university> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,94035
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/dieter-fensel> ?property ?value },value:a property:b,a:58.00; b:17.00;,b a,a b,,1,60,28221
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-leeds> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-leeds> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:21.00;,b a c,a b c,,2,1 22,158945
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/matthias-weidl> ?property ?value },value:a property:b,a:9.00; b:10.00;,b a,a b,,1,10,22340
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/john-g-keating> ?property ?value },value:a property:b,a:5.00; b:6.00;,b a,a b,,1,6,25506
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/eswc/2011/programme-committee-member> ?property ?value },value:a property:b,a:337.00; b:4.00;,b a,a b,,1,337,30814
SELECT  ?property ?value  WHERE    { <http://www.eswc2007.org/pdf/eswc07-ceri.pdf> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,22668
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/www/2012/event/281> ?property ?value },value:a property:b,a:8.00; b:10.00;,b a,a b,,1,11,23536
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-southern-california> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-southern-california> ?prop ?val    },prop:a type:b val:c,a:9.00; b:1.00; c:37.00;,b a c,a b c,,2,1 38,105101
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/france-telecom> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/france-telecom> ?prop ?val    },prop:a type:b val:c,a:8.00; b:1.00; c:18.00;,b a c,a b c,,2,1 20,100530
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/adrian-mocan> ?property ?value },value:a property:b,a:15.00; b:12.00;,b a,a b,,1,16,21593
SELECT  ?property ?value  WHERE    { <http://sisinflab.poliba.it/donini/> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,18664
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-trento> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-trento> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:15.00;,b a c,a b c,,2,1 16,112934
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/pierre-maret> ?property ?value },value:a property:b,a:14.00; b:10.00;,b a,a b,,1,15,35640
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-hanover> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-hanover> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:8.00;,b a c,a b c,,2,1 9,155883
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2009/paper/industry/02> ?property ?value },value:a property:b,a:11.00; b:13.00;,b a,a b,,1,14,39156
