query,var-to-lab-mapping,lab-cards-in-TP,ProjVars,QueryVars,LonelyNonResultLabels,No.TPs,TP-sizes,QueryRuntime
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/sapienza-university-of-rome> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/sapienza-university-of-rome> ?prop ?val    },prop:a type:b val:c,a:7.00; b:1.00; c:40.00;,b a c,a b c,,2,1 51,120714
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-oxford> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-oxford> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:58.00;,b a c,a b c,,2,1 62,104493
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/free-university-of-bozen-bolzano> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/free-university-of-bozen-bolzano> ?prop ?val    },prop:a type:b val:c,a:9.00; b:1.00; c:36.00;,b a c,a b c,,2,1 39,107304
SELECT  ?property ?value  WHERE    { <http://www.eswc2007.org/pdf/eswc07-hartig.pdf> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,19660
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/www/2012/demo/34> ?property ?value },value:a property:b,a:13.00; b:10.00;,b a,a b,,1,16,22403
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/tsinghua-university> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/tsinghua-university> ?prop ?val    },prop:a type:b val:c,a:8.00; b:1.00; c:69.00;,b a c,a b c,,2,1 75,100662
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/organization/stockholm-university> ?property ?value },value:a property:b,a:5.00; b:5.00;,b a,a b,,1,6,19879
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/www/2012/proceedings> ?property ?value },value:a property:b,a:214.00; b:8.00;,b a,a b,,1,214,20140
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/italian-national-research-council> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/italian-national-research-council> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,103799
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/keio-university> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/keio-university> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:20.00;,b a c,a b c,,2,1 22,153297
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/john-chuang> ?property ?value },value:a property:b,a:6.00; b:7.00;,b a,a b,,1,7,24121
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/aritificial-intelligence-journal> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/aritificial-intelligence-journal> ?prop ?val    },prop:a type:b val:c,a:7.00; b:1.00; c:6.00;,b a c,a b c,,2,1 7,104438
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-illinois-at-urbanachampaign> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-illinois-at-urbanachampaign> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:13.00;,b a c,a b c,,2,1 14,101837
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/german-research-centre-for-artificial-intelligence> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/german-research-centre-for-artificial-intelligence> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:6.00;,b a c,a b c,,2,1 7,102838
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-cagliari> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-cagliari> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:6.00;,b a c,a b c,,2,1 7,97398
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/rr/2011/full/165/authors> ?property ?value },value:a property:b,a:2.00; b:2.00;,b a,a b,,1,2,22806
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/bea-systems-inc> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/bea-systems-inc> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:5.00;,b a c,a b c,,2,1 6,101669
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/springer> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/springer> ?prop ?val    },prop:a type:b val:c,a:7.00; b:1.00; c:6.00;,b a c,a b c,,2,1 7,104220
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/ibm-research> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/ibm-research> ?prop ?val    },prop:a type:b val:c,a:9.00; b:1.00; c:86.00;,b a c,a b c,,2,1 88,102938
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/dh/2010/abstracts/poster/ab-804> ?property ?value },value:a property:b,a:13.00; b:12.00;,b a,a b,,1,20,24425
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/organization/university-of-toronto> ?property ?value },value:a property:b,a:33.00; b:9.00;,b a,a b,,1,35,23088
SELECT  ?property ?value  WHERE    { <http://oxygen.informatik.tu-cottbus.de/IT> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,21256
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/wolters-kluwer> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/wolters-kluwer> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,102395
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/instituto-superior-tecnico> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/instituto-superior-tecnico> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:6.00;,b a c,a b c,,2,1 8,96297
SELECT  ?property ?value  WHERE    { <http://www.ics.mq.edu.au/~rolfs> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,19710
SELECT  ?o  WHERE    { <http://data.semanticweb.org/organization/rice-university> <http://xmlns.com/foaf/0.1/name> ?o },o:a,a:1.00;,a,a,,1,1,19791
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/p-tena> ?property ?value },value:a property:b,a:3.00; b:4.00;,b a,a b,,1,4,21723
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-oviedo> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-oviedo> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,100495
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/australian-bureau-of-statistics> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/australian-bureau-of-statistics> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:5.00;,b a c,a b c,,2,1 6,112129
SELECT  ?property ?value  WHERE    { <http://www.eswc2007.org/pdf/eswc07-valkeapaa.pdf> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,23337
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/lrec/2008/papers/915> ?property ?value },value:a property:b,a:17.00; b:14.00;,b a,a b,,1,28,24497
SELECT  ?property ?value  WHERE    { <http://www.ing.unife.it/docenti/MarcoGavanelli/> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,22244
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/europeana> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/europeana> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,103370
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/eswc/2014/workshopsProceedings> ?property ?value },value:a property:b,a:166.00; b:2.00;,b a,a b,,1,166,21790
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/vienna-university-of-technology> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/vienna-university-of-technology> ?prop ?val    },prop:a type:b val:c,a:8.00; b:1.00; c:51.00;,b a c,a b c,,2,1 62,107719
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-economics-prague> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-economics-prague> ?prop ?val    },prop:a type:b val:c,a:9.00; b:1.00; c:25.00;,b a c,a b c,,2,1 27,105492
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2004/proceedings> ?property ?value },value:a property:b,a:72.00; b:18.00;,b a,a b,,1,78,23465
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2004/session-05/event-02> ?property ?value },value:a property:b,a:5.00; b:6.00;,b a,a b,,1,6,22275
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-udine> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-udine> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:6.00;,b a c,a b c,,2,1 7,93476
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/organization/london> ?property ?value },value:a property:b,a:3.00; b:4.00;,b a,a b,,1,4,20686
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/osaka-university> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/osaka-university> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:9.00;,b a c,a b c,,2,1 10,96536
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/microsoft> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/microsoft> ?prop ?val    },prop:a type:b val:c,a:6.00; b:1.00; c:33.00;,b a c,a b c,,2,1 35,101817
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-southampton> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-southampton> ?prop ?val    },prop:a type:b val:c,a:9.00; b:1.00; c:94.00;,b a c,a b c,,2,1 100,99398
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/organization/sapienza-university-of-rome> ?property ?value },value:a property:b,a:40.00; b:7.00;,b a,a b,,1,51,25338
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/www/2007/paper/main/692> ?property ?value },value:a property:b,a:9.00; b:11.00;,b a,a b,,1,14,25224
SELECT  *  WHERE    { ?person <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://xmlns.com/foaf/0.1/Person> },person:a,a:11114.00;,a,a,,1,11114,21868
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2004/proceedings/paper-56> ?property ?value },value:a property:b,a:12.00; b:15.00;,b a,a b,,1,17,35238
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/eswc/2009/paper/70> ?property ?value },value:a property:b,a:23.00; b:16.00;,b a,a b,,1,34,36612
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2013/proceedings-1/paper-24> ?property ?value },value:a property:b,a:20.00; b:18.00;,b a,a b,,1,31,32094
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/kerstin-eckart> ?property ?value },value:a property:b,a:4.00; b:5.00;,b a,a b,,1,5,27756
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/nih> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/nih> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:5.00;,b a c,a b c,,2,1 6,110949
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2013/session-4b/event-01> ?property ?value },value:a property:b,a:5.00; b:6.00;,b a,a b,,1,6,35607
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/deri-galway> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/deri-galway> ?prop ?val    },prop:a type:b val:c,a:8.00; b:1.00; c:70.00;,b a c,a b c,,2,1 71,106379
SELECT  ?o ?p  WHERE    { <http://data.semanticweb.org/organization/carnegie-mellon-university> ?p ?o },p:a o:b,a:5.00; b:66.00;,b a,a b,,1,70,27513
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/www/2009/paper/68> ?property ?value },value:a property:b,a:9.00; b:10.00;,b a,a b,,1,10,34225
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-technology-sydney> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-technology-sydney> ?prop ?val    },prop:a type:b val:c,a:8.00; b:1.00; c:8.00;,b a c,a b c,,2,1 9,137962
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/www/2012> ?property ?value },value:a property:b,a:389.00; b:13.00;,b a,a b,,1,390,30614
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/organization/intersticia> ?property ?value },value:a property:b,a:3.00; b:4.00;,b a,a b,,1,4,26803
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/hewlett-packard-laboratories> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/hewlett-packard-laboratories> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:39.00;,b a c,a b c,,2,1 43,110870
SELECT  ?property ?value  WHERE    { <http://www.cs.iastate.edu/~honavar/> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,27259
SELECT  ?property ?value  WHERE    { <http://lsirpeople.epfl.ch/aberer/> ?property ?value },value:a property:b,a:1.00; b:1.00;,b a,a b,,1,1,25182
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-naples-federico-ii> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-naples-federico-ii> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:5.00;,b a c,a b c,,2,1 6,248036
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/eswc/2009/track/research/talk/39> ?property ?value },value:a property:b,a:6.00; b:7.00;,b a,a b,,1,7,30663
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/michael-rabinovich> ?property ?value },value:a property:b,a:18.00; b:12.00;,b a,a b,,1,20,31164
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/ruleml-eu/2011/session/day1/1325/paperlist> ?property ?value },value:a property:b,a:5.00; b:5.00;,b a,a b,,1,5,29385
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/jonathan-mortensen> ?property ?value },value:a property:b,a:6.00; b:6.00;,b a,a b,,1,7,23016
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/eswc/2007/location-freiburg1> ?property ?value },value:a property:b,a:2.00; b:2.00;,b a,a b,,1,2,26635
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/warsaw-university-of-technology> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/warsaw-university-of-technology> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,122135
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/telecom-bretagne> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/telecom-bretagne> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:6.00;,b a c,a b c,,2,1 8,98405
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/bonaventura-coppola> ?property ?value },value:a property:b,a:14.00; b:10.00;,b a,a b,,1,15,24181
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/microsoft-research> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/microsoft-research> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:94.00;,b a c,a b c,,2,1 95,128714
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2010/session-dc-3> ?property ?value },value:a property:b,a:14.00; b:10.00;,b a,a b,,1,15,29977
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-ioannina> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-ioannina> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:6.00;,b a c,a b c,,2,1 7,111345
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/stanford-university> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/stanford-university> ?prop ?val    },prop:a type:b val:c,a:9.00; b:1.00; c:132.00;,b a c,a b c,,2,1 138,303275
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2003/proceedings/paper-04/author_list> ?property ?value },value:a property:b,a:5.00; b:5.00;,b a,a b,,1,5,28333
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2001/proceedings/paper-11/author_list> ?property ?value },value:a property:b,a:2.00; b:2.00;,b a,a b,,1,2,31488
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-queensland> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-queensland> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:11.00;,b a c,a b c,,2,1 12,112801
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2002/proceedings> ?property ?value },value:a property:b,a:56.00; b:18.00;,b a,a b,,1,61,37242
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/leipzig-university> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/leipzig-university> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:26.00;,b a c,a b c,,2,1 27,116074
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/bell-labs> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/bell-labs> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:14.00;,b a c,a b c,,2,1 17,112043
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/organization/deri-nui-galway> ?property ?value },value:a property:b,a:129.00; b:10.00;,b a,a b,,1,163,34064
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/national-technical-university-of-athens> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/national-technical-university-of-athens> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:6.00;,b a c,a b c,,2,1 7,170765
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc-aswc/2007/tracks/research/session/research-11-ontology-design> ?property ?value },value:a property:b,a:7.00; b:5.00;,b a,a b,,1,8,39202
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2001/participant> ?property ?value },value:a property:b,a:248.00; b:4.00;,b a,a b,,1,248,61502
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/national-university-of-ireland> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/national-university-of-ireland> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:6.00;,b a c,a b c,,2,1 7,114059
SELECT  ?property ?value  WHERE    { <http://www.eswc2006.org/topics/#topic2.6> ?property ?value },value:a property:b,a:2.00; b:2.00;,b a,a b,,1,2,25559
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/person/yanqing-cui> ?property ?value },value:a property:b,a:6.00; b:7.00;,b a,a b,,1,7,19657
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/nicta> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/nicta> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:12.00;,b a c,a b c,,2,1 14,89372
SELECT  ?property ?value  WHERE    { <http://data.semanticweb.org/conference/iswc/2001/position-proceedings/paper-16/author_list> ?property ?value },value:a property:b,a:2.00; b:2.00;,b a,a b,,1,2,22425
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/mitre-corporation> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/mitre-corporation> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:6.00;,b a c,a b c,,2,1 7,103167
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/tokyo-institute-of-technology> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/tokyo-institute-of-technology> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:11.00;,b a c,a b c,,2,1 12,139476
SELECT  ?type ?prop ?val  WHERE    { <http://data.semanticweb.org/organization/university-of-the-basque-country> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?type .      <http://data.semanticweb.org/organization/university-of-the-basque-country> ?prop ?val    },prop:a type:b val:c,a:5.00; b:1.00; c:4.00;,b a c,a b c,,2,1 5,158485
